Category,Language,Aspects,Count
PostDoc,German,jahr___wissenschaftlerin,4
Others,German,bedingung___mensch,4
PostDoc,German,jahr___verantwortung,4
Others,English,position___researcher,4
Unknown,German,arbeitsbedingung___stunde,4
Others,German,frau___kind,4
Others,German,frau___karriere,4
PostDoc,German,erfahrung___hochschule,4
PostDoc,English,postdoc___thread,4
PostDoc,German,erfahrung___kollege,4
PostDoc,English,postdoc___thing,4
Unknown,German,monat___promotion,4
PostDoc,German,erfahrung___lehre,4
PostDoc,German,jahr___urlaub,4
Others,German,frage___perspektive,4
PostDoc,German,universität___verantwortung,4
Others,German,frage___mensch,4
PostDoc,German,jahr___wissenschaftssystem,4
Unknown,German,monat___projekt,4
Others,English,job___position,4
Unknown,German,arbeitsvertrag___woche,4
PostDoc,German,uni___wissenschaftssystem,4
Others,German,forschung___woche,4
PostDoc,English,postdoc___science,4
Unknown,German,monat___postdoc,4
Unknown,German,arbeitsbedingung___politik,4
Unknown,German,monat___studium,4
PostDoc,German,professor___verwaltung,4
Unknown,German,arbeit___thema,4
Others,German,geschichte___system,4
Others,German,geschichte___projekt,4
PostDoc,German,jahr___stunde,4
Others,German,geschichte___politik,4
Others,English,position___university,4
Unknown,German,arbeit___semester,4
PostDoc,German,vertrag___wissenschaftlerin,4
Others,German,geschichte___job,4
Others,German,geschichte___jahr,4
Unknown,German,arbeit___system,4
Others,German,geld___wissenschaftler,4
Others,German,geld___studium,4
Others,German,frau___tag,4
Others,German,geld___stelle,4
Others,German,bedingung___innovation,4
Unknown,German,arbeit___woche,4
Others,German,bedingung___karriere,4
PostDoc,German,entfristung___verwaltung,4
PostDoc,German,vertrag___wirtschaft,4
Unknown,German,arbeitsbedingung___frage,4
PostDoc,German,jahr___uhr,4
Others,German,geld___hochschule,4
PostDoc,German,frage___hanna,4
Unknown,German,arbeitsbedingung___kollege,4
Unknown,German,mittelbau___zeit,4
Others,German,forschung___thread,4
Unknown,German,mittelbau___uni,4
Unknown,German,bereich___job,4
Others,German,forderung___land,4
PostDoc,German,tweet___wissenschaft,4
Unknown,German,beitrag___forschung,4
Others,German,forderung___jahr,4
PostDoc,German,job___promotion,4
PostDoc,German,track___wissenschaft,4
PostDoc,German,job___reform,4
PostDoc,German,track___uni,4
PostDoc,German,erfolg___leistung,4
Others,German,befristung___daueraufgabe,4
Unknown,German,bereich___gesellschaft,4
PostDoc,German,land___un,4
PostDoc,German,uni___verantwortung,4
Unknown,German,bereich___problem,4
PostDoc,German,job___system,4
Others,German,folge___hochschule,4
Unknown,German,bereich___wirtschaft,4
Unknown,German,bereich___wissenschaft,4
Others,German,befristung___debatte,4
PostDoc,German,thread___verantwortung,4
PostDoc,German,forschung___verantwortung,4
PostDoc,German,land___stelle,4
Others,German,familie___professur,4
PostDoc,German,job___vertrag,4
Unknown,German,befristung___zeit,4
Others,German,forderung___mensch,4
PostDoc,German,tweet___wissenschaftssystem,4
Others,English,germany___year,4
Others,German,forschung___reform,4
Others,German,forschung___prof,4
PostDoc,German,un___wissenschaft,4
Others,German,forschung___land,4
PostDoc,German,erfahrung___thema,4
PostDoc,English,discussion___problem,4
PostDoc,German,lehre___mittelbau,4
Unknown,German,mittelbau___professur,4
PostDoc,German,un___vertrag,4
Others,German,forschung___grund,4
PostDoc,German,lehre___mensch,4
PostDoc,German,uhr___wissenschaftler,4
Unknown,German,befristung___nachwuchs,4
Others,German,forderung___wissenschaftler,4
Others,German,forderung___wissenschaft,4
Unknown,German,befristung___professur,4
PostDoc,German,forschung___wissenschaftssystem,4
PostDoc,German,land___zeit,4
Others,German,forderung___reform,4
Others,German,forderung___promotion,4
PostDoc,German,erfahrung___zeit,4
Unknown,German,befristung___thema,4
PostDoc,English,discussion___researcher,4
Unknown,German,arbeit___kind,4
Unknown,German,arbeit___job,4
PostDoc,German,land___situation,4
Professor,German,sicherheit___uni,4
Others,German,arbeitsverhältnis___mittelbau,4
PostDoc,German,drittmittel___promotion,4
Professor,German,reform___wissenschaftler,4
Professor,German,antwort___gesetz,4
PostDoc,German,lehre___verwaltung,4
Others,German,arbeitsverhältnis___wissenschaftler,4
Unknown,German,politik___thema,4
Professor,German,antwort___frage,4
Others,German,jahr___lehre,4
Professor,German,reform___zeit,4
PostDoc,German,drittmittel___system,4
PostDoc,German,drittmittel___thema,4
Others,German,jahr___video,4
Others,German,innovation___system,4
Professor,German,sicherheit___wissenschaftssystem,4
Professor,German,antwort___bmbf,4
PostDoc,English,problem___science,4
Others,German,innovation___nachwuchs,4
Professor,German,sinn___video,4
Professor,German,sinn___wissenschaft,4
Others,German,innovation___jahr,4
Others,German,info___uhr,4
Professor,German,antrag___woche,4
Professor,German,situation___thread,4
Unknown,German,post___uni,4
Unknown,German,post___vertrag,4
Others,German,geschichte___wissenschaft,4
PostDoc,German,innovation___zeit,4
Others,German,karriere___zeit,4
Professor,German,promotion___reform,4
PostDoc,German,prof___thema,4
PostDoc,German,drittmittel___innovation,4
PostDoc,German,innovation___wirtschaft,4
Others,German,karriere___system,4
Others,German,karriere___studium,4
Others,German,karriere___stelle,4
Professor,German,promotion___video,4
Others,German,karriere___problem,4
Unknown,German,system___vertrag,4
Professor,German,punkt___stelle,4
Others,German,arbeitsverhältnis___jahr,4
Professor,German,punkt___system,4
Others,German,karriere___kollege,4
Others,German,job___zeit,4
PostDoc,German,drittmittel___kind,4
Professor,German,punkt___vertrag,4
PostDoc,German,frage___stunde,4
PostDoc,German,frage___stelle,4
Professor,German,qualifikation___vertrag,4
Professor,German,antwort___promotion,4
Others,German,job___leute,4
Professor,German,reform___thema,4
PostDoc,English,career___change,4
PostDoc,German,druck___hochschule,4
Professor,German,stelle___universität,4
Professor,German,vertrag___woche,4
Professor,German,track___zeit,4
PhD Student,German,hanna___hochschule,4
PostDoc,English,precarity___way,4
Others,German,grund___promotion,4
PostDoc,English,precarity___university,4
Professor,German,uni___unsicherheit,4
PostDoc,English,precarity___time,4
Others,German,grund___mensch,4
Unknown,German,system___wissenschaftssystem,4
Professor,German,universität___vertrag,4
Professor,German,universität___zeit,4
PostDoc,German,entfristung___leistung,4
Professor,German,antrag___projekt,4
Others,German,gesetz___land,4
Others,English,researcher___time,4
Professor,German,vorschlag___woche,4
PostDoc,German,vorschlag___wissenschaft,4
PostDoc,German,entfristung___postdoc,4
Others,German,gesellschaft___politik,4
PostDoc,German,entfristung___problem,4
PostDoc,German,video___wissenschaftler,4
Unknown,German,arbeit___familie,4
Unknown,German,arbeit___grund,4
PostDoc,German,entfristung___promotion,4
Professor,German,track___wissenschaftler,4
Others,German,arbeitsvertrag___wissenschaftler,4
Professor,German,track___vertrag,4
PostDoc,German,druck___zeit,4
Others,German,idee___problem,4
Others,German,idee___mensch,4
Professor,German,system___universität,4
Professor,German,system___unsicherheit,4
Professor,German,antrag___monat,4
Unknown,German,perspektive___problem,4
Unknown,German,perspektive___postdoc,4
Others,German,hochschule___semester,4
Unknown,German,person___wissenschaft,4
PostDoc,German,frage___monat,4
Others,German,hochschule___leute,4
PostDoc,English,day___year,4
PostDoc,German,frage___lösung,4
Professor,German,antrag___arbeit,4
Others,German,hanna___system,4
PostDoc,German,zeit___zukunft,4
Others,German,hanna___reform,4
PostDoc,German,wort___zeit,4
Others,German,arbeitsvertrag___vertrag,4
Others,German,hanna___politik,4
Others,English,term___university,4
Others,German,hanna___karriere,4
Others,German,arbeitsvertrag___wissenschaft,4
Unknown,German,bildung___politik,4
Unknown,German,bildung___thema,4
PostDoc,German,innovation___video,4
PostDoc,German,reform___universität,4
Unknown,German,hanna___universität,4
PostDoc,German,konferenz___uni,4
PostDoc,German,folge___wissenschaftler,4
PostDoc,German,kind___thema,4
Others,German,bmbf___hochschule,4
Unknown,German,hochschule___mensch,4
PostDoc,English,job___precarity,4
PostDoc,German,sache___stelle,4
Others,German,bmbf___forschung,4
PostDoc,German,kind___universität,4
Unknown,German,hochschule___stelle,4
Unknown,German,mensch___person,4
PostDoc,German,kind___studium,4
Unknown,German,hochschule___system,4
PostDoc,German,reform___thema,4
Unknown,German,hochschule___universität,4
Others,German,bildung___studium,4
PostDoc,English,job___problem,4
Others,German,befristung___zeit,4
Unknown,German,leute___wissenschaftler,4
Unknown,German,jahr___mittelbau,4
Unknown,German,leute___vertrag,4
Others,German,beitrag___forschung,4
Others,German,bildung___folge,4
Unknown,German,hanna___system,4
Unknown,German,hanna___stelle,4
PostDoc,German,familie___universität,4
Others,German,chance___system,4
Others,German,daueraufgabe___personal,4
Unknown,German,gesetz___thema,4
Others,German,befristung___stelle,4
Others,German,daueraufgabe___hanna,4
PostDoc,English,life___scientist,4
Unknown,German,gesetz___wissenschaftler,4
Unknown,German,gesetz___zeit,4
Others,German,daueraufgabe___familie,4
PostDoc,German,situation___verantwortung,4
Others,German,chance___wissenschaftler,4
PostDoc,German,situation___universität,4
Unknown,German,grund___vertrag,4
Others,English,academia___university,4
Others,German,chance___problem,4
PostDoc,German,kind___professur,4
PostDoc,German,semester___vertrag,4
Others,German,chance___leute,4
Others,German,chance___karriere,4
PostDoc,German,semester___uni,4
PostDoc,German,semester___teil,4
PostDoc,German,forschung___möglichkeit,4
Others,German,chance___daueraufgabe,4
PostDoc,German,konferenz___wissenschaft,4
Unknown,German,hanna___semester,4
Unknown,German,jahr___politik,4
Unknown,German,jahr___prof,4
Unknown,German,leute___studium,4
PostDoc,German,kollege___vertrag,4
Unknown,German,land___uni,4
Others,German,berlin___gesetz,4
PostDoc,English,life___position,4
PostDoc,German,promotion___track,4
Unknown,German,kind___mensch,4
PostDoc,German,kollege___professor,4
Others,German,bereich___uni,4
Unknown,German,kind___system,4
Others,German,bereich___nachwuchs,4
Others,German,bereich___mitarbeiter,4
PostDoc,German,projekt___uni,4
Others,German,bereich___jahr,4
Others,German,beschäftigung___wissenschaftler,4
Unknown,German,kollege___monat,4
Others,German,bereich___hochschule,4
PostDoc,German,forscher___uni,4
PostDoc,German,projekt___system,4
Others,German,beitrag___uni,4
Others,German,bereich___deutschland,4
Others,German,bereich___bildung,4
Unknown,German,kollege___zeit,4
Unknown,German,land___mensch,4
PostDoc,German,kollege___system,4
PostDoc,German,projekt___promotion,4
Unknown,German,karriere___vertrag,4
PostDoc,German,promotion___vertrag,4
Unknown,German,karriere___professur,4
Unknown,German,karriere___perspektive,4
PostDoc,German,forderung___mittelbau,4
Unknown,German,jahr___semester,4
PostDoc,German,kommentar___wissenschaftler,4
Others,German,beschäftigung___studium,4
PostDoc,German,forderung___promotion,4
Unknown,German,leute___monat,4
Unknown,German,leute___mittelbau,4
Others,German,beschäftigung___land,4
PostDoc,German,forschung___karriere,4
Others,German,beschäftigung___hanna,4
PostDoc,English,job___science,4
PostDoc,German,forderung___vorschlag,4
PostDoc,German,kollege___mittelbau,4
PostDoc,German,forderung___wissenschaft,4
Unknown,German,land___wissenschaft,4
PostDoc,German,publikation___system,4
Unknown,German,job___system,4
PostDoc,German,forschung___idee,4
Others,German,beitrag___system,4
Unknown,German,job___wissenschaftler,4
Unknown,German,karriere___kind,4
Unknown,German,karriere___mensch,4
Others,German,berlin___politik,4
Others,German,daueraufgabe___problem,4
Others,German,daueraufgabe___professur,4
Others,German,familie___monat,4
PostDoc,German,karriere___prof,4
Others,German,entfristung___thema,4
PostDoc,German,teil___tweet,4
Unknown,German,uni___universität,4
Unknown,German,diskussion___problem,4
Unknown,German,diskussion___promotion,4
Others,German,entfristung___forderung,4
Others,German,entfristung___erfahrung,4
Others,German,druck___zeit,4
Others,German,druck___wissenschaftler,4
Others,German,druck___vertrag,4
Others,German,druck___uni,4
PostDoc,German,system___wort,4
PostDoc,German,teil___woche,4
Unknown,German,druck___problem,4
PostDoc,German,system___wissenschaftlerin,4
Others,German,druck___job,4
PostDoc,English,people___thread,4
Unknown,German,druck___wissenschaft,4
Unknown,German,erfahrung___mensch,4
Others,English,career___year,4
Unknown,German,erfahrung___studium,4
Others,German,diskussion___universität,4
PostDoc,English,people___thing,4
PostDoc,German,ergebnis___wissenschaftler,4
PostDoc,English,discussion___thread,4
Unknown,German,deutschland___promotion,4
Unknown,German,gesetz___hochschule,4
PostDoc,German,erfolg___wissenschaft,4
PostDoc,German,job___wirtschaft,4
PostDoc,German,thema___wort,4
Unknown,German,mensch___vertrag,4
Unknown,German,chance___forschung,4
Others,German,befristung___entfristung,4
PostDoc,German,thema___wissenschaftlerin,4
Unknown,German,chance___karriere,4
Others,German,befristung___familie,4
PostDoc,German,job___zeit,4
Unknown,German,chance___problem,4
PostDoc,German,thema___vorschlag,4
PostDoc,German,erfolg___wissenschaftler,4
PostDoc,German,teil___zeit,4
Others,German,erfahrung___studium,4
PostDoc,German,erfolg___wissenschaftssystem,4
PostDoc,German,thema___video,4
PostDoc,German,thema___vertrag,4
Others,German,erfahrung___projekt,4
PostDoc,English,discussion___thing,4
Others,German,erfahrung___mittelbau,4
Unknown,German,chance___vertrag,4
Others,German,erfahrung___idee,4
Unknown,German,deutschland___land,4
PostDoc,German,land___mensch,4
PostDoc,English,people___term,4
Unknown,German,familie___hanna,4
Unknown,German,familie___job,4
Others,German,dauerstelle___system,4
Unknown,German,frage___promotion,4
PostDoc,German,struktur___system,4
PostDoc,German,stelle___wort,4
PostDoc,German,kopf___wissenschaft,4
Others,German,debatte___jahr,4
Unknown,German,geld___hochschule,4
Others,German,debatte___frage,4
Unknown,German,geld___mensch,4
Unknown,German,geld___postdoc,4
PostDoc,German,familie___hochschule,4
Unknown,German,geld___promotion,4
Unknown,German,geld___semester,4
Unknown,German,familie___mensch,4
Unknown,German,thema___uni,4
PostDoc,German,familie___kollege,4
PostDoc,German,stelle___universität,4
PostDoc,German,familie___mensch,4
Others,German,befristung___postdoc,4
Others,German,dauerstelle___mitarbeiter,4
PostDoc,German,familie___postdoc,4
Others,German,dauerstelle___entfristung,4
Unknown,German,gesellschaft___system,4
Others,German,daueraufgabe___uni,4
Others,German,daueraufgabe___system,4
PostDoc,German,fach___wissenschaft,4
PostDoc,German,fach___thread,4
PostDoc,German,karriere___verantwortung,4
PostDoc,German,struktur___wissenschaft,4
PostDoc,German,system___tag,4
PostDoc,German,forschung___struktur,4
Unknown,German,familie___studium,4
PostDoc,German,kritik___problem,4
Others,German,diskussion___hochschule,4
PostDoc,German,fach___karriere,4
Unknown,German,forschung___gesellschaft,4
Others,German,befristung___grund,4
PostDoc,German,stunde___wissenschaftler,4
Others,English,career___time,4
PostDoc,German,kritik___postdoc,4
Others,German,befristung___innovation,4
Others,German,deutschland___stelle,4
Others,German,deutschland___politik,4
PostDoc,German,studium___universität,4
Unknown,German,forschung___situation,4
Unknown,German,forschung___tag,4
PostDoc,German,forschung___semester,4
Unknown,German,forschung___universität,4
PostDoc,German,fach___promotion,4
PostDoc,German,fach___stelle,4
Others,German,debatte___wissenschaftler,4
Unknown,German,mensch___professur,4
Professor,German,projekt___vertrag,4
Professor,German,un___uni,4
Professor,German,projekt___system,4
Professor,German,mittelbau___professur,4
PostDoc,German,deutschland___hochschule,4
Others,German,professor___wissenschaft,4
PostDoc,German,frau___tag,4
PostDoc,English,science___term,4
Professor,German,mensch___postdoc,4
Professor,German,mensch___professor,4
Others,German,professor___professur,4
PostDoc,German,deutschland___leute,4
Professor,German,mensch___universität,4
PostDoc,German,problem___tweet,4
Unknown,German,professor___professur,4
Professor,German,mensch___wissenschaftler,4
Others,German,problem___unsicherheit,4
Others,German,problem___system,4
Others,German,problem___stelle,4
Others,German,problem___semester,4
Professor,German,mitarbeiter___prof,4
Unknown,German,prof___system,4
Others,German,postdoc___stelle,4
Others,German,postdoc___professur,4
Others,German,politik___wissenschaftler,4
Professor,German,mensch___monat,4
PostDoc,German,deutschland___hanna,4
Professor,German,lösung___wissenschaftler,4
Others,German,projekt___wissenschaft,4
Professor,German,leute___woche,4
PostDoc,German,problem___struktur,4
Professor,German,liebe___mitarbeiter,4
Professor,German,argument___promotion,4
Professor,German,argument___professur,4
Others,German,promotion___system,4
PostDoc,German,hochschule___zukunft,4
PostDoc,German,idee___innovation,4
Others,German,projekt___wissenschaftler,4
Professor,German,argument___perspektive,4
Others,German,professur___stelle,4
Others,German,projekt___thema,4
Professor,German,argument___leute,4
PostDoc,German,lösung___wissenschaftler,4
Others,German,projekt___promotion,4
PostDoc,German,deutschland___geld,4
Professor,German,lösung___uni,4
Others,German,professur___universität,4
PostDoc,English,day___life,4
Unknown,German,professor___stelle,4
Professor,German,mittelbau___problem,4
Professor,German,mittelbau___stelle,4
Others,German,reform___vorschlag,4
Others,German,perspektive___zukunft,4
Others,German,monat___zeit,4
Professor,German,arbeitsbedingung___liebe,4
PostDoc,English,researcher___thread,4
Professor,German,nachwuchs___wissenschaftssystem,4
PostDoc,German,leute___sache,4
Others,German,monat___promotion,4
Others,German,monat___projekt,4
Others,German,monat___postdoc,4
Professor,German,person___stelle,4
Others,German,mittelbau___zeit,4
Professor,German,arbeitsbedingung___gesellschaft,4
Unknown,German,problem___wissenschaftssystem,4
Others,German,mittelbau___verwaltung,4
Others,German,mittelbau___universität,4
PostDoc,English,researcher___student,4
Others,German,mittelbau___situation,4
Professor,German,arbeitsbedingung___deutschland,4
Professor,German,perspektive___sicherheit,4
Others,German,mittelbau___politik,4
Others,German,mittelbau___perspektive,4
PostDoc,German,frau___kind,4
PostDoc,German,leute___struktur,4
Others,German,nachwuchs___postdoc,4
Professor,German,nachwuchs___punkt,4
PostDoc,German,idee___thema,4
Professor,German,mittelbau___system,4
Unknown,German,prof___studium,4
Professor,German,mittelbau___universität,4
Professor,German,arbeitsbedingung___thread,4
PostDoc,German,deutschland___video,4
Others,German,perspektive___uhr,4
PostDoc,German,leute___wirtschaft,4
Professor,German,mittelbau___zeit,4
Professor,German,monat___stelle,4
Professor,German,monat___system,4
Professor,German,möglichkeit___universität,4
Professor,German,arbeitsbedingung___stelle,4
Professor,German,arbeitsbedingung___promotion,4
PostDoc,German,bereich___stelle,4
Others,German,arbeitsbedingung___grund,4
Professor,German,arbeitsbedingung___problem,4
Others,German,personal___problem,4
Professor,German,möglichkeit___promotion,4
Professor,German,möglichkeit___stelle,4
Unknown,German,prof___professur,4
Professor,German,leute___wissenschaftler,4
Unknown,German,wissenschaft___woche,4
PostDoc,German,dis___vertrag,4
Professor,German,kommentar___wissenschaftssystem,4
PostDoc,German,dauerstelle___professur,4
Professor,German,ausland___perspektive,4
Professor,German,kollege___stelle,4
PostDoc,English,contract___thing,4
Unknown,German,vertrag___woche,4
Professor,German,kollege___studium,4
Unknown,German,projekt___promotion,4
Others,German,wissenschaftler___wissenschaftssystem,4
Others,German,wissenschaft___wissenschaftssystem,4
Professor,German,kollege___vertrag,4
Others,German,vorschlag___wissenschaft,4
Others,German,video___zeit,4
Professor,German,ausland___hanna,4
Professor,German,ausland___grund,4
Others,German,arbeit___idee,4
Others,German,vertrag___vorschlag,4
PostDoc,German,dauerstelle___wissenschaftler,4
Others,German,unsicherheit___vertrag,4
PostDoc,German,postdoc___wissenschaftssystem,4
PostDoc,German,gedanke___jahr,4
Others,German,uni___video,4
PostDoc,English,contract___student,4
PostDoc,German,gedanke___problem,4
PostDoc,German,dauerstelle___postdoc,4
Professor,German,kollege___nachwuchs,4
PhD Student,German,forschung___zeit,4
PhD Student,German,forschung___wissenschaftler,4
PhD Student,German,forschung___promotion,4
PostDoc,German,dauerstelle___forschung,4
PhD Student,German,deutschland___forschung,4
Unknown,German,stunde___tag,4
Others,German,arbeit___daueraufgabe,4
PhD Student,German,arbeitsbedingung___jahr,4
PhD Student,German,arbeitsbedingung___forschung,4
Professor,German,kollege___perspektive,4
PD,German,professur___system,4
PhD Student,German,arbeit___uni,4
PhD Student,German,arbeit___thema,4
Professor,German,ausland___vertrag,4
PostDoc,German,dauerstelle___leute,4
Professor,German,ausland___uni,4
Unknown,German,projekt___system,4
PhD Student,German,arbeit___hochschule,4
PostDoc,German,postdoc___tag,4
Others,German,arbeit___deutschland,4
PostDoc,German,debatte___forderung,4
PostDoc,German,debatte___forschung,4
Others,German,reform___wissenschaftssystem,4
PostDoc,German,hochschule___struktur,4
Others,German,stunde___thema,4
Others,German,stunde___tag,4
Others,German,studium___zeit,4
Professor,German,lehre___postdoc,4
Others,German,studium___woche,4
PostDoc,German,debatte___position,4
Others,German,arbeit___tag,4
Others,German,stelle___universität,4
Others,German,arbeit___uhr,4
Professor,German,lehre___wissenschaft,4
Professor,German,lehre___wissenschaftler,4
Others,German,situation___wissenschaftler,4
Professor,German,argument___wissenschaftssystem,4
Others,German,situation___thema,4
Others,German,situation___stelle,4
Professor,German,leute___projekt,4
Professor,German,leute___punkt,4
Unknown,German,professor___wissenschaftler,4
Professor,German,argument___uni,4
Unknown,German,professor___wissenschaft,4
Professor,German,leute___universität,4
Others,German,stunde___uhr,4
Others,German,stunde___vertrag,4
Others,German,arbeit___reform,4
Others,German,thema___universität,4
Others,German,uhr___universität,4
Professor,German,land___mittelbau,4
PostDoc,German,hochschule___stunde,4
PostDoc,German,debatte___hanna,4
PostDoc,German,debatte___jahr,4
PostDoc,German,problem___prof,4
Unknown,German,professur___system,4
Others,German,arbeit___perspektive,4
Others,German,thema___vertrag,4
Others,German,arbeit___postdoc,4
Others,German,stunde___wort,4
Others,German,tag___zeit,4
Others,German,tag___woche,4
Professor,German,land___wissenschaftssystem,4
PostDoc,German,mensch___politik,4
Professor,German,artikel___jahr,4
Others,German,arbeit___professur,4
PostDoc,German,debatte___mensch,4
PostDoc,German,debatte___mittelbau,4
PostDoc,German,problem___reform,4
Others,German,mitarbeiter___wissenschaftler,4
PostDoc,German,deutschland___monat,4
PostDoc,German,bereich___promotion,4
PostDoc,German,diskussion___zeit,4
Professor,German,arbeit___reform,4
Professor,German,problem___qualifikation,4
Others,German,mensch___thread,4
Unknown,German,postdoc___wissenschaft,4
Others,German,arbeitsbedingung___postdoc,4
Professor,German,arbeit___karriere,4
PostDoc,German,diskussion___wort,4
PostDoc,German,prof___stelle,4
Professor,German,problem___studium,4
Professor,German,problem___reform,4
Others,German,lehre___vertrag,4
Professor,German,post___uni,4
PostDoc,German,frage___wissenschaftssystem,4
Others,German,kind___wissenschaft,4
PostDoc,English,research___thing,4
PostDoc,German,diskussion___position,4
Professor,German,arbeit___punkt,4
Others,German,lehre___postdoc,4
Professor,German,professor___promotion,4
Others,German,arbeitsbedingung___nachwuchs,4
Professor,German,prof___system,4
Professor,German,problem___punkt,4
Others,German,mensch___monat,4
Others,German,arbeitsbedingung___zeit,4
Professor,German,prof___stelle,4
Unknown,German,problem___situation,4
Unknown,German,problem___vertrag,4
PostDoc,English,problem___thread,4
Professor,German,arbeit___prof,4
PostDoc,German,leute___nachwuchs,4
Professor,German,post___stelle,4
PostDoc,German,frage___wissenschaftler,4
Unknown,German,problem___professur,4
Professor,German,professur___vorschlag,4
Professor,German,problem___prof,4
Others,German,arbeitsbedingung___prof,4
Professor,German,arbeit___politik,4
Others,German,land___wissenschaftler,4
PostDoc,German,diskussion___karriere,4
Professor,German,postdoc___unsicherheit,4
PostDoc,German,frau___jahr,4
PostDoc,German,prof___professor,4
Others,German,lehre___zeit,4
Others,German,leute___mensch,4
PostDoc,German,innovation___thema,4
PostDoc,German,diskussion___entfristung,4
Professor,German,problem___tag,4
PostDoc,German,innovation___problem,4
Others,German,leute___mittelbau,4
PostDoc,English,researcher___science,4
Professor,German,postdoc___thema,4
Others,German,land___universität,4
Others,German,mitarbeiter___vertrag,4
PostDoc,German,innovation___postdoc,4
Professor,German,arbeit___kind,4
Professor,German,postdoc___sinn,4
Others,German,mitarbeiter___personal,4
Others,German,arbeitsbedingung___situation,4
Others,German,leute___studium,4
Others,German,lehre___wissenschaftler,4
Professor,German,professur___qualifikation,4
PostDoc,German,situation___wissenschaftssystem,3
PostDoc,German,diskussion___situation,3
PostDoc,German,situation___thread,3
PostDoc,German,situation___system,3
PostDoc,German,familie___wissenschaftssystem,3
PostDoc,English,life___term,3
Professor,German,beitrag___problem,3
PostDoc,German,folge___problem,3
PostDoc,German,prof___wort,3
PostDoc,English,life___science,3
PostDoc,German,chance___position,3
PostDoc,German,drittmittel___situation,3
Professor,German,deutschland___kollege,3
PostDoc,German,familie___vertrag,3
PostDoc,German,debatte___lösung,3
PostDoc,German,forschung___monat,3
PostDoc,German,geld___person,3
PostDoc,English,life___student,3
PostDoc,German,gedanke___hochschule,3
PostDoc,German,forschung___post,3
PostDoc,German,frage___promotion,3
PostDoc,German,bund___leute,3
PostDoc,German,gedanke___hanna,3
PostDoc,German,debatte___konferenz,3
PostDoc,German,diskussion___system,3
Professor,German,beitrag___promotion,3
PostDoc,German,debatte___karriere,3
PostDoc,German,folge___kopf,3
Professor,German,deutschland___mitarbeiter,3
PostDoc,German,beschäftigung___wissenschaftler,3
PostDoc,German,bund___jahr,3
Professor,German,antwort___problem,3
Professor,German,befristung___bewerbung,3
PostDoc,German,chance___nachwuchs,3
PostDoc,German,forschung___personal,3
PostDoc,German,stelle___tag,3
PostDoc,German,bewerbung___deutschland,3
Professor,German,befristung___entfristung,3
PostDoc,English,day___job,3
PostDoc,German,familie___frau,3
PostDoc,German,stelle___woche,3
PostDoc,German,debatte___professur,3
PostDoc,English,people___precarity,3
Professor,German,debatte___vorschlag,3
PostDoc,German,drittmittel___vorschlag,3
PostDoc,German,fach___wissenschaftler,3
Professor,German,befristung___erfahrung,3
Professor,German,argument___zeit,3
PostDoc,German,bewerbung___kollege,3
PostDoc,German,fach___wirtschaft,3
PostDoc,German,diskussion___politik,3
Professor,German,befristung___fach,3
PostDoc,German,drittmittel___wissenschaftler,3
PostDoc,German,frage___zukunft,3
Unknown,German,studium___wissenschaftler,3
PostDoc,German,struktur___wissenschaftler,3
PostDoc,German,position___system,3
Professor,German,antwort___befristung,3
Professor,German,arbeit___mittelbau,3
Professor,German,argument___wissenschaftler,3
Professor,German,argument___video,3
PostDoc,German,gesellschaft___mensch,3
PostDoc,German,forschung___situation,3
PostDoc,German,gesellschaft___leute,3
Professor,German,debatte___promotion,3
PostDoc,German,debatte___stunde,3
PostDoc,German,studium___un,3
PostDoc,German,debatte___postdoc,3
PostDoc,German,debatte___politik,3
PostDoc,German,chance___möglichkeit,3
PostDoc,German,debatte___perspektive,3
PostDoc,German,bewerbung___dis,3
Professor,German,artikel___forschung,3
PostDoc,German,situation___zeit,3
PostDoc,German,stelle___studium,3
PostDoc,German,diskussion___prof,3
PostDoc,German,familie___thema,3
PostDoc,German,stelle___stunde,3
Professor,German,befristung___dauerstelle,3
PostDoc,German,stelle___thread,3
Professor,German,antwort___forschung,3
PostDoc,English,problem___student,3
Professor,German,bewerbung___habil,3
PostDoc,German,bund___geld,3
Professor,German,befristung___diskussion,3
Professor,German,deutschland___fach,3
PostDoc,German,stelle___verwaltung,3
PostDoc,German,bund___forschung,3
PostDoc,English,problem___scientist,3
PostDoc,German,familie___karriere,3
PostDoc,German,gesellschaft___politik,3
Professor,German,deutschland___diskussion,3
PostDoc,German,debatte___personal,3
Unknown,German,universität___vertrag,3
PostDoc,German,bewerbung___forschung,3
PostDoc,German,bundestag___professur,3
PostDoc,German,diskussion___postdoc,3
Professor,German,debatte___zeit,3
Professor,German,debatte___wissenschaftssystem,3
PostDoc,German,stelle___video,3
Professor,German,artikel___reform,3
PostDoc,German,sache___vorschlag,3
PostDoc,German,gedanke___wissenschaftler,3
PostDoc,German,gesellschaft___vertrag,3
PostDoc,German,professur___wissenschaftlerin,3
PostDoc,German,promotion___situation,3
PostDoc,English,life___people,3
PostDoc,German,dauerstelle___jahr,3
Professor,German,beitrag___zeit,3
PostDoc,German,promotion___teil,3
Professor,German,beruf___hochschule,3
Professor,German,diskussion___hochschule,3
Professor,German,diskussion___hanna,3
PostDoc,German,prof___tag,3
Professor,German,arbeit___drittmittel,3
PostDoc,German,postdoc___publikation,3
